#Data tag : 23v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
320688:7006,08/01/18 17:24:06,483,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.135321679,0.130855199
320712:7008,08/02/18 04:45:01,204,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.071961247,0.069579800
320757:7013,08/02/18 16:37:56,332,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.120886198,0.116683595
320804:7017,08/03/18 09:27:51,1229,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.330955853,0.319033307
320807:7017,08/03/18 17:28:46,7,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.001319980,0.000348408
320809:7017,08/03/18 17:43:13,716,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.109016947,0.106230704
320821:7018,08/04/18 01:57:32,181,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.062971560,0.060432928
320822:7018,08/04/18 03:09:16,523,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.155022448,0.149814403
320823:7018,08/04/18 06:34:31,360,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.082833311,0.080025310
320824:7018,08/04/18 08:55:49,1051,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.168366394,0.164020053
320838:7020,08/04/18 19:31:12,265,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.096928421,0.092366066
320840:7020,08/04/18 21:20:14,471,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.146842730,0.141043050
320841:7020,08/05/18 00:26:03,205,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.052347637,0.050468155
320853:7024,08/05/18 08:48:20,329,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.122363483,0.118065454
320854:7024,08/05/18 10:59:06,125,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.041400997,0.039644924
320855:7024,08/05/18 11:50:43,565,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.151991410,0.146559259
320856:7024,08/05/18 15:36:28,159,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.034598791,0.033490847
320857:7024,08/05/18 16:39:57,272,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.054740449,0.052859822
320858:7024,08/05/18 18:27:33,230,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.039032500,0.037521088
320859:7024,08/05/18 20:00:16,40,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.005145820,0.004926672
320887:7026,08/06/18 00:38:34,273,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.107833308,0.104361547
320888:7026,08/06/18 02:26:10,26,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.009764263,0.009500190
320916:7031,08/06/18 11:12:39,24,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.007336221,0.006635005
320917:7031,08/06/18 11:25:17,1926,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.492698235,0.477801746
320920:7031,08/06/18 23:56:15,178,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.024669249,0.024013428
320933:7033,08/07/18 05:29:36,172,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.054446952,0.051965819
320934:7033,08/07/18 06:38:31,826,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.217431928,0.210460582
320936:7033,08/07/18 12:01:22,400,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.081580034,0.078320032
320941:7033,08/07/18 14:39:42,93,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.016178908,0.015638078
320980:7035,08/07/18 17:52:40,99,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.039561634,0.038407528
320995:7036,08/07/18 21:28:55,183,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.028183311,0.025796208
321012:7037,08/08/18 15:58:30,47,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.005390345,0.004974448
320996:7036,08/07/18 22:42:30,380,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.050584199,0.048288004
321004:7037,08/08/18 03:47:42,147,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.050292118,0.046906478
321005:7037,08/08/18 04:48:15,61,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.021380109,0.019195813
321006:7037,08/08/18 05:15:04,162,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.054086088,0.051704227
321007:7037,08/08/18 06:19:56,829,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.209654048,0.202763102
321009:7037,08/08/18 11:43:25,79,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.015507845,0.014732928
321010:7037,08/08/18 12:16:22,342,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.059726248,0.057206632
321011:7037,08/08/18 14:32:48,211,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.031527285,0.028948830
321051:7039,08/09/18 05:17:54,1113,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.326956568,0.311577321
321055:7039,08/09/18 12:35:36,730,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.128411458,0.125495500
321067:7040,08/09/18 20:21:44,593,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.179546898,0.172706969
321068:7040,08/10/18 00:16:40,707,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.151436924,0.147136741
321069:7040,08/10/18 04:54:15,313,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.051305481,0.049557775
321119:7042,08/10/18 17:12:52,169,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.062509106,0.058668389
321121:7042,08/10/18 18:22:06,46,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.017000011,0.015831462
321122:7042,08/10/18 18:42:10,391,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.126907640,0.120346156
321124:7042,08/10/18 21:20:25,818,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.192703177,0.185307787
321126:7042,08/11/18 03:03:45,493,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.081502595,0.078957429
321134:7043,08/11/18 10:39:55,38,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.008416261,0.008164269
321138:7043,08/11/18 11:32:55,735,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.149384450,0.141976762
321140:7043,08/11/18 16:25:01,798,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.119693342,0.116949370
321149:7045,08/12/18 00:25:55,1697,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.446894650,0.433916174
321165:7047,08/12/18 17:19:23,2,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.000806762,0.000389898
321166:7047,08/12/18 17:42:32,10,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.003997463,0.003380938
321167:7047,08/12/18 17:51:01,918,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.282763401,0.274126989
321177:7048,08/13/18 05:40:20,411,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.156072679,0.151674214
321178:7048,08/13/18 08:57:22,74,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.023596124,0.023034517
321218:7052,08/13/18 14:13:49,914,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.296324865,0.282500585
321219:7052,08/13/18 20:10:44,930,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.186211343,0.181189493
321221:7052,08/14/18 02:13:21,40,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.006038613,0.005906206
321230:7053,08/14/18 05:33:41,81,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.032086407,0.022670378
321231:7053,08/14/18 06:09:24,59,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.024679614,0.014523657
321232:7053,08/14/18 06:36:11,24,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.009687275,0.006057920
321233:7053,08/14/18 06:47:55,727,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.238948586,0.231852526
321262:7054,08/14/18 14:50:07,4,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.001737787,0.001669120
321283:7055,08/14/18 17:05:56,310,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.124953463,0.119780879
321294:7055,08/14/18 19:35:51,62,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.022067521,0.020610486
321295:7055,08/14/18 20:01:35,734,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.208661372,0.201490287
321296:7055,08/15/18 00:55:44,56,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.012397914,0.011876596
321305:7056,08/15/18 04:02:21,2628,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.622179623,0.601904551
321393:7058,08/17/18 07:32:36,138,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.051870893,0.049689179
321311:7056,08/15/18 22:48:28,10,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.000941655,0.000473243
321312:7056,08/15/18 22:55:17,761,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.061529666,0.060265688
321313:7056,08/16/18 03:55:17,408,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.026959409,0.026586081
321396:7058,08/17/18 08:29:54,1469,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.378296920,0.365018162
321397:7058,08/17/18 18:06:23,365,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.053675056,0.052262513
321414:7061,08/17/18 23:14:10,1243,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.395274302,0.380801771
321415:7061,08/18/18 07:21:19,804,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.146243466,0.142213696
321431:7063,08/18/18 15:51:46,153,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.059086784,0.055907925
321432:7063,08/18/18 16:54:29,47,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.018178671,0.016577963
321433:7063,08/18/18 17:15:09,125,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.045595448,0.042731538
321434:7063,08/18/18 18:07:00,642,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.187641856,0.180882406
321436:7063,08/18/18 22:20:52,710,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.142079561,0.138441929
321457:7065,08/19/18 09:38:11,1844,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.501709771,0.482761896
321461:7065,08/19/18 21:38:10,149,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.021566306,0.021013094
321475:7069,08/20/18 03:30:43,2028,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.488689788,0.471912521
321710:7078,08/23/18 15:20:08,52,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.018046259,0.017235399
321712:7078,08/23/18 15:42:14,247,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.087886196,0.084378140
321730:7080,08/23/18 23:10:55,286,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.112375837,0.102670881
321732:7080,08/24/18 01:11:04,1407,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.358201362,0.344691952
321735:7080,08/24/18 10:33:27,146,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.024345227,0.023661290
321755:7083,08/24/18 15:48:50,686,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.221469550,0.213437556
321758:7083,08/24/18 20:21:07,152,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.038637372,0.037517590
321760:7083,08/24/18 21:44:52,805,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.150632665,0.146153421
321773:7087,08/25/18 14:11:58,55,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.022124395,0.021058783
321774:7087,08/25/18 14:43:49,117,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.045889276,0.043723139
321775:7087,08/25/18 15:36:11,13,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.004960631,0.004807240
321776:7087,08/25/18 15:57:38,30,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.010990012,0.010304681
321777:7087,08/25/18 16:14:59,187,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.063976900,0.058616866
321778:7087,08/25/18 18:07:27,136,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.039886442,0.036058295
321780:7087,08/25/18 19:04:57,481,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.116933559,0.113674716
321781:7087,08/25/18 22:38:11,380,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.070570108,0.068009102
321813:7090,08/26/18 11:20:15,321,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.125075552,0.120243809
321815:7090,08/26/18 14:01:16,23,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.007776365,0.005120206
321817:7090,08/26/18 14:20:00,536,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.153547752,0.148473508
321818:7090,08/26/18 17:50:06,690,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.142889883,0.138015405
321820:7090,08/26/18 22:26:15,214,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.032880906,0.032068958
321831:7091,08/27/18 02:10:22,752,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.259147823,0.248042890
321832:7091,08/27/18 07:06:22,494,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.120327552,0.115961844
321833:7091,08/27/18 10:27:00,398,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.076878879,0.074190773
321834:7091,08/27/18 13:05:28,333,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.051569711,0.049809506
321879:7092,08/27/18 19:57:43,265,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.096052125,0.090170659
321880:7092,08/27/18 22:01:46,130,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.042742253,0.041375820
321887:7095,08/28/18 03:04:04,895,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.287810036,0.276941304
321908:7097,08/28/18 15:40:10,426,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.155763299,0.145314737
321909:7097,08/28/18 18:31:34,1653,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.351568812,0.340569377
321917:7098,08/29/18 07:24:24,798,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.271675031,0.261219957
321919:7098,08/29/18 12:38:52,6,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.001642874,0.001488823
321933:7099,08/29/18 16:09:13,282,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.104891275,0.101007248
321960:7101,08/29/18 23:26:49,24,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.007956220,0.007304486
321961:7101,08/29/18 23:43:01,354,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.138272961,0.132126192
321973:7105,08/30/18 11:44:30,1208,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.373337456,0.358666936
321975:7105,08/30/18 19:37:18,866,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.150778733,0.145783784
321988:7108,08/31/18 05:56:29,1329,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.399919959,0.384021716
321990:7108,08/31/18 15:16:37,471,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.083326865,0.081031948
322013:7109,08/31/18 20:44:38,9,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.002365163,0.001146111
322014:7109,08/31/18 20:52:10,17,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.007087789,0.006669868
322022:7110,08/31/18 23:02:55,1749,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.469842949,0.452968644
322040:7112,09/01/18 13:09:06,39,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.014437023,0.013692424
322057:7114,09/01/18 22:28:32,21,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.008912977,0.008235478
322068:7117,09/02/18 04:40:56,674,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.243731161,0.232599447
322079:7118,09/02/18 13:24:26,360,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.146804255,0.140244760
322106:7120,09/02/18 23:40:43,824,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.292892361,0.281859052
322113:7122,09/03/18 08:37:14,108,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.043431506,0.040789720
322118:7122,09/03/18 09:20:37,861,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.278951041,0.268228934
322179:7123,09/03/18 18:39:51,1739,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.487940057,0.469749616
322201:7124,09/04/18 07:55:39,222,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.090596326,0.084335391
322204:7124,09/04/18 09:24:58,1136,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.325525462,0.311166308
322625:7145,09/10/18 05:32:10,1120,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.347816656,0.335273291
322222:7124,09/04/18 16:53:45,526,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.096306016,0.092744223
322252:7125,09/04/18 22:29:20,1545,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.439089321,0.420357700
322317:7127,09/05/18 14:01:44,54,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.020269615,0.019245910
322319:7127,09/05/18 14:25:29,161,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.063767846,0.055502234
322322:7127,09/05/18 15:29:27,1107,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.303551393,0.292464047
322324:7127,09/05/18 23:27:53,416,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.071323290,0.069259748
322332:7128,09/06/18 04:11:56,1019,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.326773150,0.313995681
322348:7131,09/06/18 15:43:39,1466,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.430051125,0.414112209
322355:7132,09/07/18 03:05:42,99,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.036048974,0.033876145
322356:7132,09/07/18 03:45:19,779,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.242598280,0.234583361
322381:7133,09/07/18 13:10:32,533,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.186111260,0.178729681
322407:7135,09/07/18 19:47:22,537,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.178564202,0.169958460
322430:7137,09/08/18 03:19:19,739,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.244775592,0.235401386
322431:7137,09/08/18 08:12:25,1161,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.235683783,0.227638504
322480:7139,09/08/18 19:33:13,341,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.117973101,0.109337400
322492:7139,09/08/18 22:56:03,1386,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.297741084,0.287515085
322510:7142,09/09/18 10:32:39,9,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.002497753,0.002228890
322599:7144,09/09/18 17:58:47,252,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.100548692,0.094350581
322602:7144,09/09/18 19:40:01,69,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.025794356,0.024109024
322603:7144,09/09/18 20:08:09,10,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.003641608,0.002693892
322605:7144,09/09/18 20:13:23,280,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.093444700,0.089623887
322617:7144,09/09/18 23:12:33,601,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.141694463,0.136645564
322633:7145,09/10/18 12:51:34,249,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.052624689,0.050945617
323414:7213,09/24/18 03:51:16,40,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.006922388,0.006204142
323423:7213,09/24/18 07:01:48,136,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.022299813,0.021037074
323470:7217,09/24/18 15:47:51,221,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.084338654,0.080200218
323471:7217,09/24/18 17:18:19,232,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.080490089,0.075495647
323472:7217,09/24/18 18:50:41,64,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.020335972,0.019315198
323473:7217,09/24/18 19:40:41,227,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.063902526,0.054519627
323474:7217,09/24/18 21:42:20,352,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.080373578,0.077807771
323475:7217,09/25/18 00:00:42,77,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.014812315,0.014194080
323487:7218,09/25/18 05:28:20,451,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.161053632,0.154166173
323488:7218,09/25/18 08:30:08,745,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.193196247,0.186197456
323492:7218,09/25/18 13:45:43,30,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.006473907,0.005823197
323493:7218,09/25/18 13:58:37,140,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.028298225,0.027375069
323495:7218,09/25/18 14:54:31,187,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.033597040,0.032346526
323524:7221,09/26/18 00:36:20,531,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.179811734,0.172934401
323525:7221,09/26/18 04:05:25,1117,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.251759819,0.242648282
323526:7221,09/26/18 11:22:43,462,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.066501059,0.064950697
323693:7234,09/29/18 03:47:30,114,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.042896577,0.040083352
323696:7234,09/29/18 04:33:10,257,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.093142024,0.088847729
323702:7234,09/29/18 10:56:34,808,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.150177767,0.145958433
323725:7236,09/29/18 20:38:39,329,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.125225614,0.118533090
323726:7236,09/29/18 22:49:58,53,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.018453247,0.014606471
323727:7236,09/29/18 23:13:04,971,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.255954811,0.246903637
323755:7239,09/30/18 13:17:44,929,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.308086666,0.296639246
323775:7240,09/30/18 21:49:18,129,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.049072549,0.046767743
323778:7240,09/30/18 22:41:26,934,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.282906951,0.270935867
323790:7242,10/01/18 09:35:02,900,HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2,0.290147770,0.276737455
